Path,SteerAngle,Throttle,Brake,Speed,X_Position,Y_Position,Pitch,Yaw,Roll
C:\Users\mingy\online-course\robond-mingyi\projects\RoboND-Rover-Project\roversim\IMG\robocam_2017_06_01_23_16_08_430.jpg,-7.422388,1,0,2.841316,103.7138,89.38745,1.341264,39.36804,-0.0001511593
C:\Users\mingy\online-course\robond-mingyi\projects\RoboND-Rover-Project\roversim\IMG\robocam_2017_06_01_23_16_08_494.jpg,-4.466844,1,0,2.881584,103.8505,89.49469,1.337377,38.54963,-0.0008268915
C:\Users\mingy\online-course\robond-mingyi\projects\RoboND-Rover-Project\roversim\IMG\robocam_2017_06_01_23_16_08_562.jpg,-1.466401,1,0,2.937175,103.9896,89.60322,1.344291,38.02129,-0.0006789903
C:\Users\mingy\online-course\robond-mingyi\projects\RoboND-Rover-Project\roversim\IMG\robocam_2017_06_01_23_16_08_629.jpg,0,1,0,2.978837,104.1781,89.75056,1.361672,37.83054,-0.00237256
C:\Users\mingy\online-course\robond-mingyi\projects\RoboND-Rover-Project\roversim\IMG\robocam_2017_06_01_23_16_08_696.jpg,0,1,0,3.020116,104.3219,89.86239,1.366644,37.79873,-0.00248711
C:\Users\mingy\online-course\robond-mingyi\projects\RoboND-Rover-Project\roversim\IMG\robocam_2017_06_01_23_16_08_761.jpg,0,1,0,3.075028,104.468,89.97547,1.37655,37.78289,-0.00208968
C:\Users\mingy\online-course\robond-mingyi\projects\RoboND-Rover-Project\roversim\IMG\robocam_2017_06_01_23_16_08_832.jpg,0,1,0,3.115641,104.666,90.12808,1.378027,37.76534,-0.001551435
C:\Users\mingy\online-course\robond-mingyi\projects\RoboND-Rover-Project\roversim\IMG\robocam_2017_06_01_23_16_08_895.jpg,0,1,0,3.156287,104.8168,90.24406,1.37855,37.75119,-0.00155245
C:\Users\mingy\online-course\robond-mingyi\projects\RoboND-Rover-Project\roversim\IMG\robocam_2017_06_01_23_16_08_962.jpg,0,1,0,3.210382,104.9698,90.36151,1.384625,37.73674,-0.001543967
C:\Users\mingy\online-course\robond-mingyi\projects\RoboND-Rover-Project\roversim\IMG\robocam_2017_06_01_23_16_09_029.jpg,0,1,0,3.251041,105.1768,90.52029,1.389537,37.71763,-0.001453817
